UniqueID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Stub
B15003_007,57.06747213846744,89.66028805857998,16.325766447435992,44.30231240097064,201.6012783173783,423.8622440175316,56.89277222861501,72.59921817631813,41.351074003875404,87.60563038593094,3rd grade
B15003_008,65.86860202940359,110.03940106712744,21.353324395511375,45.7948907839653,206.77929106214097,359.2576025961828,61.9181801752585,81.42945329260749,48.07347441593187,100.19017770247494,4th grade
B15003_009,60.67721848711037,106.65763866670174,26.986434235951734,53.380292362289694,194.51201435246682,336.54451846146907,62.60953876203321,77.64171202628677,52.1611556607632,130.056331681826,5th grade
B15003_010,48.458930980162584,69.12146159797173,15.038648740017779,47.357546950066904,193.41070510646367,447.42761577325723,52.952928284736934,71.24044067775851,42.83068024192459,92.78980818624507,6th grade
B15003_011,105.17307065836683,155.46656660910097,18.527482515948872,48.5254878242243,154.15716626932257,249.55412220159653,130.08067462229926,70.20684613597443,47.0474039507923,77.42746468663537,7th grade
B15003_012,137.1466883929551,132.6498751051805,22.022430382283513,45.65833282254019,129.20862469130466,196.23828191171472,159.9291749878441,70.93092257424937,51.92357077781299,75.4459975551496,8th grade
B15003_013,115.28631394209658,146.08882540899765,16.975776100920267,48.865441557082775,152.5681996464825,260.61706280293856,127.41031784020656,68.41119614830069,47.00174654085873,62.40560844052495,9th grade
B15003_014,144.79153102199868,206.64638681217542,21.5314794489635,54.14363349640746,118.1294158421978,152.6375421370965,157.92141452154254,76.80680041893847,55.13178607587091,53.04624825387907,10th grade
B15003_015,140.98538502446308,241.89057776609363,20.382018809275845,55.35569972120705,124.91526228733996,158.69259007089764,141.85550400489737,77.1652043264176,55.098580303677025,51.64591036116065,11th grade
B15003_016,100.9201215459255,144.84923591591019,43.35909372184669,83.2777222494986,128.76963297425434,164.98816164951842,101.21686290587061,102.4033822590489,79.36756771113899,91.69011929675612,"12th grade, no diploma"
B15003_018,153.8591302121832,139.46328173018213,32.61377247416661,78.04501659720364,94.31964627631946,104.72081421871478,156.32864059073006,94.56014346408755,70.86500260874443,55.56933827242716,GED or alternative credential
B15003_019,123.0176492316796,91.94185683212997,70.55091754867402,109.87352908531034,78.70290636047518,77.01087771691623,124.14023741727995,115.30029250565686,102.75984436858909,58.99872547845572,"Some college, less than 1 year"
B15003_020,107.04386644014852,109.50044813731408,75.83003576292326,107.40893865307528,97.27808166851004,84.61754753292877,106.03311968495332,109.20830697560481,108.10848758201166,77.54524281488567,"Some college, 1 or more years, no degree"
B15003_021,110.56089402041418,78.48332288000329,84.12999019623538,115.74120962179981,79.43106895683735,65.76017689095447,117.15295303959974,116.21112666383378,110.14244164151228,72.26286813283815,Associate's degree
B15003_022,67.31106861508258,40.42071783586621,172.39492838782587,118.24699327014643,81.36262342640859,38.606401837566146,66.21734476293973,105.96623566643997,135.26942502430924,170.29801020224727,Bachelor's degree
B15003_023,59.359381109953304,36.08224764701948,212.63358306888338,111.37749815171489,69.5173853315245,24.041098408397673,59.37995999753471,100.62831200757702,138.4303352050527,205.46996907415996,Master's degree
B15003_024,45.435590590874135,20.269163636957032,283.26971109446004,91.74644469202619,62.78670190351474,18.94854457225356,46.01594686303747,85.10361546837785,139.37189252134237,264.98220266391974,Professional school degree
B15003_025,50.170240156709546,23.258599980594337,250.6997824627073,95.50227846462029,72.70383601861897,16.660606422160956,46.105185624746795,87.42291932790147,150.17834081704373,253.74267924720675,Doctorate degree
B16004_009,48.205390289287145,66.69501264324896,168.80486491077187,95.64739020351455,134.74673124828303,69.12771483624779,62.75019845529607,83.39772150486772,118.22250000926904,207.18920778922913,Speak other Indo-European languages:
B16004_014,31.656902495859107,42.16016963213192,190.28753800926182,117.60790576101357,113.04044746416008,93.90508974198428,14.089080898146639,96.45189334989696,148.10846573183605,193.05435136052463,Speak Asian and Pacific Island languages:
B16004_019,73.80581663926617,154.8099403613692,89.36220954545658,85.9358353864274,235.51917017375078,117.46428959633677,21.32218551633219,70.96843741801516,123.90773266205744,142.07526260640034,Speak other languages:
