GEOID,cluster
010730007001,2
010730011002,2
010730011005,2
010730011003,9
010399630002,7
010399630001,7
010399617002,7
010399617003,7
010399617001,7
010399620004,2
011070500004,7
011070502002,7
011070504005,2
011070504004,7
011070504003,2
011070501002,2
011070501001,7
011070501004,7
010730118024,9
010730118021,8
010730121031,8
011130306003,4
011130306002,1
011130310002,7
011130302001,5
011130302003,2
011130312001,7
011130312003,7
010199559002,7
010199559003,7
010199561003,7
010199561001,7
010030113002,7
010030102002,7
010030108001,9
010030108002,3
010030114011,7
010030114013,7
010030114012,7
010030110002,7
010030101002,7
010030101003,7
011250123031,9
011250123032,5
011250125021,4
010399620001,1
010030105002,1
010030105004,8
010030105003,4
010030105001,1
010030112022,1
010030112023,8
010030112024,8
010030103002,4
010030103003,7
010030107031,4
010030107041,4
010030107011,4
011250117011,2
011250117031,2
011250121002,1
011250121001,5
011250102032,4
011250127001,6
011250118003,2
011250118002,2
011250107032,7
010730059053,8
010730100023,8
010730105002,2
010730105003,2
010730108051,3
010730109002,2
010730109006,2
010730109007,2
010730109003,2
010799798001,7
010799792002,7
010799792004,7
010799792001,7
011010011003,2
010610504001,7
010610504005,1
010610504004,7
010610504003,7
010610504002,1
010610501001,7
010610501002,7
010610501003,1
010730005004,2
010730021001,2
010730021003,2
010730021002,2
010730024005,5
010730024006,5
010970071032,7
010970011001,2
010970011003,2
010970008003,2
010970008001,5
010970008004,2
010970027002,2
010970027001,2
010970031002,9
010970031001,8
010570200002,7
010570201001,7
010570201002,7
010570202002,7
010570202003,1
010570204004,7
010570204002,7
011010020001,8
011010020004,3
011010020003,3
011010006001,2
010730115003,7
010730115001,7
010730117031,4
010730117034,9
010510302004,7
010310103001,7
010310103002,7
010310104002,7
010310104001,7
010310112013,4
010310112012,4
010310112011,9
011030003001,6
011030003002,1
011030054041,7
011030054042,7
011030054043,4
011030053011,3
011030053014,7
011030008002,1
011030009001,6
011030009002,1
010730008002,2
010730008001,2
010730008003,2
010730008004,2
010730036001,2
010730036004,2
010730036003,2
010730036005,2
010730038032,2
010730038034,2
010730052001,2
010770101001,1
011030054053,7
010730117033,9
011030054052,7
011030004002,8
011030004003,2
011030052004,7
010439651002,7
010439652001,7
010439652002,7
010439643004,7
010439643003,7
010279592002,7
010279592001,7
011170303031,9
011170306092,4
011210116002,1
011210116001,7
011210117001,7
011210117002,1
011210117003,1
011210111003,7
011210111002,7
011210113001,8
011210113003,2
011210113004,1
011210113005,6
011210113002,2
011210115002,7
011210115004,7
010550004005,8
010550004001,7
010550007002,2
010550010001,2
010550101002,1
010550105021,7
010550105022,7
011210105002,2
011210105001,1
010730003002,2
010730004001,2
010730131003,2
010730131002,2
010730131001,2
010730012002,2
010730012004,2
010730012003,2
010730012001,2
010730045001,5
010730045002,5
010730127012,8
010830209001,9
010830209002,1
010730107021,9
010730108041,3
010730112091,2
010730117051,4
011070503001,1
010599732002,6
010599737003,7
010599737001,7
010810411002,1
010810411001,5
010810411003,1
011250126001,5
010730014003,2
010730014002,2
010730014001,2
010730004005,2
010730004002,2
010730004003,2
010730035002,2
010730035003,2
010730037004,2
010730037002,2
010730047012,10
010730047013,5
010730056004,9
010730056001,8
010730056002,1
010730111072,3
010730133001,6
010730118041,2
010730141022,4
010730141023,7
010730141024,7
010770113001,7
010770116021,7
010770116022,7
010770102001,5
010770102002,8
010770103002,2
010770106004,1
010770106003,2
010770106005,1
010770110003,6
010830210001,9
010830204011,7
010830204013,7
010830203001,7
010830203002,7
010830205002,2
010830212003,9
010830212002,4
010830208022,4
010830208023,4
010830211001,7
010730020002,2
010730020001,2
010730020003,2
010730038023,2
010730038024,2
010730038022,2
010730040002,2
010730040004,2
010730040005,2
010499614003,7
010499614002,7
010499603001,7
010499603003,7
010499603004,7
010499609002,7
010499609001,7
010499613001,6
010499613002,6
010499613004,7
010499610002,7
010499610003,7
010499601004,7
010499601005,7
010499601003,7
010499607003,7
011270216002,7
011270204003,7
011270204001,1
011270210003,7
010550005001,1
010550006003,2
010550006002,1
010550016002,8
010550016001,2
010550003001,2
010970056002,7
010970056003,7
010970057001,7
010799792003,7
010799795004,7
010799795001,7
010799795002,7
010799795003,7
010799795005,7
010799793004,7
010799793002,7
010799793003,7
010799793001,7
010799796001,7
010799796003,7
010799796002,7
010799796004,7
010799794001,1
010799794002,1
010799794004,1
010810403002,5
010810405001,9
010810412003,3
010810418002,7
010810418001,7
010810402004,5
010810402003,5
010810413003,2
010810413002,2
010730114002,1
010730114004,7
010730114003,7
010730126021,8
010730126024,1
010650400002,7
010970054001,1
010970054002,9
010970055002,1
010970055001,6
010890013011,5
010890110122,4
010030114033,7
010030107014,9
010030107013,7
010890030001,2
010890106231,4
010450200001,8
010450200003,4
010450208011,6
010450208022,2
010450208023,7
010450208024,7
010730144092,8
010730144091,9
010730144122,4
010730144133,3
010730144131,4
010730129141,9
010730129154,9
011239626001,2
011239626002,7
011239621003,2
011239621002,1
011239621001,7
010439654022,7
010439654024,7
010439654011,7
010439654012,1
011170307033,8
011170305021,4
011170303441,9
011170303421,4
011170303422,3
011170303411,9
010030109061,7
010030109033,7
010030109032,7
010030109041,7
010030109043,7
010030107053,4
010030107042,4
010550109001,7
010630601001,2
010630602001,2
010630602003,2
010630600001,7
010059501002,7
010059501003,7
010059509002,1
010059504003,6
010059504002,7
010059508002,1
010059508001,1
010059505001,7
010950312004,1
010950302022,7
010950302024,8
010950302021,7
010150020004,7
010150020005,7
010150020001,4
010150008001,1
010150009001,8
011210102021,7
010259576011,7
010259580021,7
010259580011,7
011010002002,5
011270203003,8
011270203004,1
011056871003,2
011056871001,2
011056871002,2
011056868001,7
011056868002,7
011056870004,8
011056870001,2
011270214004,7
011270214001,7
010970061021,7
010970063011,7
010970066002,7
010970066004,7
010970066001,4
010970013021,2
010970013023,2
010119521001,2
010119522002,2
010950305001,7
010950305004,1
010950305002,7
010950301002,7
010090501013,7
010090501011,1
010090501015,7
010090502001,7
010090504003,7
010090504004,7
010090505004,7
010090505001,7
010970030001,1
010970034041,2
010970007011,2
010970007013,2
010970014003,2
010970014002,2
010970023011,2
010970025023,8
010970032051,2
010950308021,6
010950308024,6
010950309021,8
010950303003,7
010950303004,7
010950303002,7
010950303001,7
010730140014,4
010030112012,9
010030116021,7
010030116023,7
011030051031,7
011030051012,4
011170304051,1
010970037103,9
010939647004,7
010939647003,7
010939644004,7
010939644003,1
010939643001,7
010939643004,7
010939643002,1
010939641002,7
010939641001,7
010939646001,1
010939646002,1
011056870006,2
010330209011,7
010330209012,7
010330207032,9
010330207031,9
010330209021,7
010330209024,7
010330209022,7
010330207041,8
010330207042,8
010330207044,8
011010051014,4
010872316031,7
010872317001,5
010730106031,2
011010051024,2
011010054064,9
010730108015,9
010730108014,3
010730051033,2
010939647001,7
010939647005,1
010770116041,7
010770116042,7
010770118013,7
011030057021,7
010730129113,3
010730129112,3
010730129101,9
010730129102,9
010730128032,9
010939645001,7
010939645003,1
010939642001,7
010939640001,7
010939640003,7
010939640004,7
010939640002,7
011270219002,7
011270219001,7
011270208001,7
011270208003,7
011270208005,7
011270208002,7
011270208004,7
011270203001,7
011270203002,4
011270217003,1
011270217002,7
011270217004,7
011270217001,7
011270213003,7
011270213002,7
011010011001,2
011010011002,2
011010011004,2
011010026002,8
011010027004,8
011010027003,3
011010027002,9
011010057002,7
011010059011,7
011010059014,7
011010059012,7
011010059013,7
011010003001,2
011010053022,6
011010054022,8
010610506001,7
010610506002,7
010450207004,2
010450207003,1
010450207001,2
010450211011,7
010450211013,7
010450211023,1
010730140022,7
010730140021,4
010730059101,4
010730059103,9
010730059104,9
010810420053,4
010810420052,7
010810420051,7
010730016003,2
010510307022,4
010510307021,4
010510309023,4
010510309021,7
010510306004,7
010730144101,3
010730144102,9
010730129121,5
010730129123,5
010730136014,2
010730107011,9
010950309031,1
010950309032,1
010950309043,7
010950309041,7
010690402024,9
010199557012,7
010199557021,7
010199557022,7
011290441003,7
011290439002,7
011290439003,7
011290442003,7
010970075002,2
010890027212,9
010890029121,3
010890101002,7
011010022012,8
011010022014,2
011010022015,2
011010022016,2
011010022013,2
011010028001,9
011010028002,5
011010028003,8
011010054031,5
011010054033,9
011010054032,5
011010056034,5
011010056031,6
011010056032,2
011010060001,6
011010060003,7
010010203001,7
010010209003,7
010010209002,4
010539705003,1
010539705002,7
010539705001,7
010539699002,1
010750302001,7
010750302002,7
010750302004,7
010750300003,7
010939640005,7
011250125023,4
011250117012,2
011339655031,7
011339655011,7
011339655022,7
011339655021,7
011339659002,7
011339659003,7
011339658003,1
011339658005,6
011339658001,7
011339657003,8
010890105013,4
010890014024,5
010890014021,8
010890004034,8
010890004033,4
010890004032,3
011210101012,4
011210103011,6
011210103012,7
011210101021,7
011210110002,1
010970061053,7
010450211022,5
010650402001,7
010730142034,4
010730131004,2
010730103013,2
010730103012,2
010730103011,2
010730144062,3
010730144063,3
010730144061,3
010730119043,2
010730119041,7
010730119042,2
010730127032,9
010730127031,3
010730113011,7
011010053011,4
011170303312,3
011170303032,9
011170303053,3
011170303043,3
011170303042,3
011170306091,4
010070100021,7
010070100022,7
010070100031,4
010070100033,7
010070100032,7
010070100011,7
010070100043,7
010070100045,7
010070100044,2
011210111001,7
010970034022,2
010970030002,9
011110003001,7
011110003003,7
011110005001,7
010330202001,1
010330202002,1
010750300004,1
010750301006,7
010750301002,7
010750301003,1
010750301005,1
010299595001,7
010299595002,7
010299596001,7
010299596002,7
010299598002,7
010299598001,7
010299597002,7
010299597003,7
010259579012,1
010770116032,7
010770116031,7
010770116033,7
010770118023,7
010770118022,7
010770118021,7
010770111011,9
010770111012,7
011030057011,7
011030051061,9
011030051062,9
011339657004,7
011339656003,7
011339656005,1
011339656004,7
011339656001,7
010970037081,9
010770117003,7
010970037082,9
010450214002,1
010450214004,6
011239622003,7
011239622001,1
011239619001,7
010730129152,3
010730129155,3
010730129151,9
010730140013,7
010730140011,7
010550110013,7
010550110011,7
010550110021,7
010550110022,7
010550110023,7
010550104021,4
010550104022,9
010550106011,7
010550106012,8
010479564003,2
010150014001,2
010150014002,7
010150014003,7
010150021023,8
010150021021,4
010150021022,1
011110005002,2
011110005004,8
011110006001,7
011110004003,7
010730140012,8
011239619002,7
011239620004,2
011239620001,7
011239623002,8
011239623004,1
011239623001,2
011239625013,7
011239625011,7
011239624003,2
011010009001,5
010872315002,7
010872315001,2
